,Elevator,ElevatorNum
0,无电梯,0
1,有电梯,1
2,有电梯,1
3,有电梯,1
4,无电梯,0
5,有电梯,1
6,有电梯,1
7,有电梯,1
8,无电梯,0
9,无电梯,0
10,有电梯,1
11,有电梯,1
12,有电梯,1
13,无电梯,0
14,有电梯,1
15,有电梯,1
16,有电梯,1
17,有电梯,1
18,有电梯,1
19,无电梯,0
20,无电梯,0
21,无电梯,0
22,有电梯,1
23,有电梯,1
24,无电梯,0
25,有电梯,1
26,无电梯,0
27,有电梯,1
28,有电梯,1
29,有电梯,1
30,无电梯,0
31,有电梯,1
32,有电梯,1
33,有电梯,1
34,无电梯,0
35,有电梯,1
36,有电梯,1
37,有电梯,1
38,有电梯,1
39,有电梯,1
40,有电梯,1
41,有电梯,1
42,有电梯,1
43,无电梯,0
44,有电梯,1
45,无电梯,0
46,无电梯,0
47,有电梯,1
48,有电梯,1
49,有电梯,1
50,有电梯,1
51,有电梯,1
52,无电梯,0
53,有电梯,1
54,有电梯,1
55,无电梯,0
56,有电梯,1
57,有电梯,1
58,无电梯,0
59,无电梯,0
60,无电梯,0
61,无电梯,0
62,无电梯,0
63,有电梯,1
64,有电梯,1
65,有电梯,1
66,有电梯,1
67,有电梯,1
68,有电梯,1
69,有电梯,1
70,无电梯,0
71,无电梯,0
72,无电梯,0
73,无电梯,0
74,有电梯,1
75,有电梯,1
76,无电梯,0
77,无电梯,0
78,有电梯,1
79,无电梯,0
80,有电梯,1
81,无电梯,0
82,有电梯,1
83,有电梯,1
84,有电梯,1
85,无电梯,0
86,无电梯,0
87,有电梯,1
88,有电梯,1
89,无电梯,0
90,无电梯,0
91,无电梯,0
92,有电梯,1
93,有电梯,1
94,无电梯,0
95,无电梯,0
96,无电梯,0
97,有电梯,1
98,有电梯,1
99,无电梯,0
100,无电梯,0
101,无电梯,0
102,有电梯,1
103,有电梯,1
104,有电梯,1
105,无电梯,0
106,有电梯,1
107,有电梯,1
108,有电梯,1
109,有电梯,1
110,有电梯,1
111,有电梯,1
112,有电梯,1
113,有电梯,1
114,有电梯,1
115,有电梯,1
116,有电梯,1
117,有电梯,1
118,有电梯,1
119,有电梯,1
120,有电梯,1
121,有电梯,1
122,无电梯,0
123,无电梯,0
124,有电梯,1
125,无电梯,0
126,无电梯,0
127,有电梯,1
128,无电梯,0
129,有电梯,1
130,无电梯,0
131,无电梯,0
132,无电梯,0
133,有电梯,1
134,无电梯,0
135,无电梯,0
136,无电梯,0
137,无电梯,0
138,无电梯,0
139,无电梯,0
140,无电梯,0
141,无电梯,0
142,无电梯,0
143,无电梯,0
144,有电梯,1
145,有电梯,1
146,有电梯,1
147,有电梯,1
148,有电梯,1
149,有电梯,1
150,无电梯,0
151,有电梯,1
152,无电梯,0
153,有电梯,1
154,无电梯,0
155,有电梯,1
156,有电梯,1
157,有电梯,1
158,无电梯,0
159,有电梯,1
160,无电梯,0
161,无电梯,0
162,有电梯,1
163,无电梯,0
164,无电梯,0
165,有电梯,1
166,有电梯,1
167,无电梯,0
168,无电梯,0
169,有电梯,1
